skill_id,skill_name,normalized_name,skill_category,skill_type
SK_00159,Embeddings,embeddings,AI/ML,technical
SK_00160,Empathy,empathy,Interpersonal,transferable
SK_00161,Enterprise Architecture,enterprise architecture,Software Engineering,technical
SK_00162,ERC-20 Tokens,erc-20 tokens,Blockchain,technical
SK_00163,ERC-721 Tokens (NFTs),erc-721 tokens (nfts),Blockchain,technical
SK_00164,Ethereum,ethereum,Blockchain,technical
SK_00165,Ethers.js,ethers.js,Blockchain,technical
SK_00166,Ethical Hacking,ethical hacking,Cybersecurity,technical
SK_00167,ETL,etl,Data Engineering,technical
SK_00168,Evaluation,evaluation,AI/ML,technical
SK_00169,Event-Driven Architecture,event-driven architecture,Architecture,technical
SK_00170,Excel,excel,Analytics,technical
SK_00171,Experimentation,experimentation,AI/ML,technical
SK_00172,Exploit Development,exploit development,Cybersecurity,technical
SK_00173,Express.js,express.js,Backend Development,technical
SK_00174,FastAPI,fastapi,Backend Development,technical
SK_00175,Feature Engineering,feature engineering,Data Science,technical
SK_00176,Figma,figma,UI/UX,technical
SK_00177,Firewalls,firewalls,Cybersecurity,technical
SK_00178,Firmware Development,firmware development,Embedded Systems,technical
SK_00179,Flask,flask,Backend Development,technical
SK_00180,Flutter,flutter,Mobile Development,technical
SK_00181,FPGA,fpga,VLSI,technical
SK_00182,Frontend Development,frontend development,AI/ML,technical
SK_00183,Game AI,game ai,Game Development,technical
SK_00184,Game Development,game development,Game Development,technical
SK_00185,Game Physics,game physics,Game Development,technical
SK_00186,GANs,gans,Generative AI,technical
SK_00187,GCP,gcp,Cloud,technical
SK_00188,Generative AI,generative ai,Generative AI,technical
SK_00189,Git,git,Cloud,technical
SK_00190,GitHub Actions,github actions,DevOps,technical
SK_00191,GitLab CI,gitlab ci,DevOps,technical
SK_00192,Go,go,Programming,technical
SK_00193,Google Cloud,google cloud,Cloud,technical
SK_00194,Google Cloud Storage,google cloud storage,Cloud,technical
SK_00195,Google Compute Engine,google compute engine,Cloud,technical
SK_00196,Google Kubernetes Engine,google kubernetes engine,Cloud,technical
SK_00197,Google Pub/Sub,google pub/sub,Cloud,technical
SK_00198,GPU Architecture,gpu architecture,Systems,technical
SK_00199,Grafana,grafana,DevOps,technical
SK_00200,Graph Databases,graph databases,Database,technical
SK_00201,Graph Neural Networks,graph neural networks,AI/ML,technical
SK_00202,GraphQL,graphql,Web Development,technical
SK_00203,Hadoop,hadoop,Data Engineering,technical
SK_00204,Hardhat,hardhat,Blockchain,technical
SK_00205,Hardhat/Truffle,hardhat/truffle,Blockchain,technical
SK_00206,Hardware Debugging,hardware debugging,Embedded Systems,technical
SK_00207,Hardware Maintenance,hardware maintenance,Systems,technical
SK_00208,Hashing Algorithms,hashing algorithms,Cybersecurity,technical
SK_00209,Helm,helm,DevOps,technical
SK_00210,Help Desk Software,help desk software,Systems,technical
SK_00211,Hibernate,hibernate,Backend Development,technical
SK_00212,HTML,html,Software Engineering,technical
SK_00213,HTML/CSS,html/css,Frontend Development,technical
SK_00214,Hugging Face Transformers,hugging face transformers,AI/ML,technical
SK_00215,Human-Computer Interaction,human-computer interaction,AI/ML,technical
SK_00216,Hyperledger,hyperledger,Blockchain,technical
SK_00217,Hypothesis Testing,hypothesis testing,Data Science,technical
SK_00218,I2C/SPI Protocols,i2c/spi protocols,Embedded Systems,technical
SK_00219,Identity and Access Management,identity and access management,Cybersecurity,technical
SK_00220,Image Classification,image classification,AI/ML,technical
SK_00221,Image Handling,image handling,Software Engineering,technical
SK_00222,Image Processing,image processing,Mobile Development,technical
SK_00223,Image Segmentation,image segmentation,AI/ML,technical
SK_00224,Incident Management,incident management,DevOps,technical
SK_00225,Incident Response,incident response,Cybersecurity,technical
SK_00226,Information Architecture,information architecture,UI/UX,technical
SK_00227,Information Extraction,information extraction,AI/ML,technical
SK_00228,Information Retrieval,information retrieval,AI/ML,technical
